Sample,Site,Rep,Gambusia holbrooki,Arenigobius bifrenatus,Mugil cephalus,Acanthopagrus butcheri,Limnodynastes dorsalis,Pseudophryne guentheri,Anas platyrhynchos,Spilopelia chinensis,Porphyrio porphyrio,Porzana tabuensis,Egretta novaehollandiae,Trichoglossus rubritorquis,Bos taurus,Ovis sp.,Mus musculus,Rattus sp.,Blackfordia polytentaculata,Obelia bidentata,Phyllorhiza punctata,Aurelia sp.,Canis lupus familiaris
1a,1,a,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
1b,1,b,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
1c,1,c,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
1d,1,d,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
2a,2,a,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
2b,2,b,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
2c,2,c,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
2d,2,d,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
3a,3,a,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3b,3,b,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3c,3,c,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3d,3,d,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4a,4,a,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0
4b,4,b,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0
4c,4,c,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
4d,4,d,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0
5a,5,a,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0
5b,5,b,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0
5c,5,c,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
5d,5,d,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0
6a,6,a,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0
6b,6,b,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
6c,6,c,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
6d,6,d,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0
7a,7,a,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
7b,7,b,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
7c,7,c,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7d,7,d,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
8a,8,a,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8b,8,b,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8c,8,c,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8d,8,d,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9a,9,a,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
9b,9,b,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
9c,9,c,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
9d,9,d,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
10a,10,a,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
10b,10,b,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
10c,10,c,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
10d,10,d,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
11a,11,a,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11b,11,b,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11c,11,c,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11d,11,d,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
